text,sarcasm_label
Dih @ahmadnurmiranto,Non-Sarcasm
Pantes sering flu flu 🤧 toh 😂😂,Sarcasm
"Konseling ke psikolog buu, ciri2 npd itu kayanya",Non-Sarcasm
HAHAHAHAHAH....,Sarcasm
Yang tanya siapa nek?,Non-Sarcasm
Mungkin yg pegang baby sitternya...takut kegandrungan game online 😂,Sarcasm
"Penting gak sih, nenek kadaluarsa begini d liput.....gak da ngaruh apa2 bagi kita.....",Non-Sarcasm
,Non-Sarcasm
@bayuputra_p,Non-Sarcasm
"Bu, saya kasih tau ya, sekarang lagi viral lagu APT.",Non-Sarcasm
Hehehehe Iya Bu atur2 😂,Sarcasm
Funfact: Indonesia adalah negara dengan tingkat skizofrenia paling tinggi di dunia.,Non-Sarcasm
Enggak,Non-Sarcasm
Komunikasi pake kaleng kental manis dikasih tali 🙌,Non-Sarcasm
😂😂😂😂😂,Sarcasm
Kaya denger Arie ngomong @adi_wepe @fathurakmal @aryarma,Non-Sarcasm
,Non-Sarcasm
😂,Sarcasm
Dih😏..,Non-Sarcasm
"kenapa gak punya hape? karena gak ada yang ngajakin koalisi buk, 😂",Sarcasm
Tidak peduli🔥,Non-Sarcasm
Iya iya iya terserah kamu bu😂😂😂,Sarcasm
,Non-Sarcasm
Ini pelakunya @ikaapl,Non-Sarcasm
Duh lucunya nenek itu 😂,Sarcasm
"Nanya sendiri , jawab sendiri 😍",Non-Sarcasm
Situ sebenernya gaptek apa gimana si??,Non-Sarcasm
Pakai telegram aja bu,Non-Sarcasm
Pede amat,Non-Sarcasm
Allohu,Non-Sarcasm
Iya toh hooh toh tenan toh,Non-Sarcasm
Si nenek kenapa sih,Non-Sarcasm
NPD tuwir bangka memang pantasnya gak dikasih panggung. Semoga tenang di alam sana.,Non-Sarcasm
Iya Bu tak punya hp tapi punya ajudan yg pegang hpnya,Non-Sarcasm
,Non-Sarcasm
Kok iso i lhooo?,Non-Sarcasm
dih,Non-Sarcasm
Iyo keren,Non-Sarcasm
Pantesan BAPERAN...,Non-Sarcasm
rak butuh kerenmu mbah sumpah😭😭,Non-Sarcasm
Org yg kelewat PD itu bisa jd memasuki fase pikun,Non-Sarcasm
"Wajar beliau tau, wong sebelumnya yg jabat kepala BIN pak BG",Non-Sarcasm
Bu Mega order goput pakai naga anglingdarma 🗿🐉,Non-Sarcasm
,Non-Sarcasm
😢,Non-Sarcasm
😂😂😂,Sarcasm
Pasti tiap pagi nonton upin-ipin,Sarcasm
Valak,Non-Sarcasm
🤣🤣,Sarcasm
😂😂😂😂,Sarcasm
Pakenya wartel 👏,Non-Sarcasm
009 ini bosku @alfian.erik,Non-Sarcasm
Padahal main pesbuk di hp tuh seru lhoh bu. Kayak ibu2 lainnya kan gitu,Sarcasm
Preeeettttttt,Non-Sarcasm
Nenek chiyo kena NPD,Non-Sarcasm
"Semoga panjang umur ya bu, biar bisa menghibur rakyat konoha 🤲",Non-Sarcasm
Sama kaya nenek gw gk bisa hp,Non-Sarcasm
"Skrg dia udah makin pinter ngibul,udah pinter playing viktim n sandiwaranya dah ngalahin artis sinetron..👏😂",Sarcasm
BOSAN,Non-Sarcasm
"Iya nek.. gak usah main hape, ntar klo kecanduan joget tiktok malah repot.. lebih baik fokus beribadah saja..",Non-Sarcasm
Ga bisa disadap tp bisa di prank jokowi 😂😂😂,Sarcasm
Makin kesini makin ke sana.,Non-Sarcasm
Apasih nekkk,Non-Sarcasm
Ia ibu memang sangat keren,Non-Sarcasm
Memang orang khan siklus nya kembali ke batita..😂😂,Sarcasm
"Dulu zaman kamu muda aku mengidola kan mu bu,tapi skrg aku sudah punya idola baru 😂😂😂😂😂😂",Sarcasm
Prettt..berass dia ini penting banget bagi indonesia,Non-Sarcasm
NARASI BASI MEMBUAT SEOLAH2 KORBAN 😂,Sarcasm
😭😭😭,Non-Sarcasm
😂😂😂😂😂😂😂😂😂😂,Sarcasm
Sipaling seneng validasi 😂,Sarcasm
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,Sarcasm
Pantesan Indosat dijual,Non-Sarcasm
"Wajar siih, dijauhi mulyono soalnya😂",Sarcasm
😂😂😂,Sarcasm
Iya iya,Non-Sarcasm
Kaga danta Luh...,Non-Sarcasm
Haus validasi 🤣 apa untung juga nyadap nenek gaptek 😂😂 hackers juga mikir nyadap yg untung aja contohnya kayak kasus kebocoran data kominfo kemarin😂😂,Sarcasm
😮,Non-Sarcasm
Punya hp paling juga cm bisa watsappan...,Non-Sarcasm
Beliau sedang dimasa lucu²nya,Non-Sarcasm
Mega ini jrg bicara . Skali bcra slalu lucu kyak standup comedy . Lanjutkan buk lumayan utk hiburan 😂😂😂,Sarcasm
Redflag banget nih kek warna partainya,Non-Sarcasm
dih,Non-Sarcasm
Yg jemput lama bnget,Non-Sarcasm
Si paling kena sadap😂,Sarcasm
😂PDIP ngelawak,Sarcasm
😂😂😂😂,Sarcasm
pantesan saya DM minjem 100k gadirespon,Non-Sarcasm
duh emak,Non-Sarcasm
Cuma tulisan ini yg mengandung suara,Non-Sarcasm
Mulai.. Mulai dah jadi orang yang paling tersakiti.,Non-Sarcasm
🔥🔥🔥,Non-Sarcasm
Gak sekalian pakai pager,Non-Sarcasm
"Hiiih, nggilani",Non-Sarcasm
siapa yg baca statement bu mega pake nada😅,Sarcasm
🔥🔥🔥,Non-Sarcasm
UMUR BU MEGA LAGI GEMES GEMESANYAAAA😍🔥,Non-Sarcasm
😂,Sarcasm
Duh gemesh🤏🏻🤏🏻,Non-Sarcasm
Pede bgt sih bu 🤣,Sarcasm
Keren abis sih 🔥,Non-Sarcasm
Setelah BG ga jadi kepala BIN takut pake hape? Berarti selama 10 tahun belakang ini ga disadap?,Non-Sarcasm
👏,Non-Sarcasm
Tapi wajar sih... mbah gw taun kelahirannya sama kayak doi. Gw ngajarin buka youtube sama WA aja 2minggu baru lulus. Itu pake kelas intensif lho. Kl kelas reguler 3bln jg blm tentu bisa2😂,Sarcasm
,Non-Sarcasm
usianya berapa si,Non-Sarcasm
Njiiih buu njiiih lereeess 😂,Sarcasm
Keren Bu. Keren sekali anda. Top global 👍🏻,Non-Sarcasm
Mantapp bu 😂,Sarcasm
"sama gue sendiri juga bosan punya hape cuma buat wa grup sekolahan, kalau ada hape yg bentukkannya kaya nokia zaman dlu tapi ada aplikasi WA nya mah gue mau dah beli 1",Non-Sarcasm
Umur sekarang emang lagi butuh di ksh mimi susu sma bedak anti nyamuk biar bobo yah 😂,Sarcasm
mgkn gaptek,Non-Sarcasm
Hahahah gr bettt,Sarcasm
Tinggal tunggu ajalnya kapan,Non-Sarcasm
Tolong ajak beliau ke OVJ,Non-Sarcasm
😂😂,Sarcasm
Nenek² paling OVT,Non-Sarcasm
Paling tersakiti seperti gen z😂,Sarcasm
GR amat mak .. 😂😂,Sarcasm
Ach gak percaya,Non-Sarcasm
Padahal banyakin dzikir nek~,Non-Sarcasm
,Non-Sarcasm
Ibu paling yang inovatif,Non-Sarcasm
Si paling keren pokonya 🤣🤣🤣,Sarcasm
Keren? 😁,Non-Sarcasm
😂😂,Sarcasm
Kocak nenek😢,Non-Sarcasm
"Kalau Hubungi Saya, Getdruk bumi 3 kali",Non-Sarcasm
Udah nenek-nenek masih saja provokasi.,Non-Sarcasm
😂,Sarcasm
Eh perasaan kagak ad bahas ni orang dari kemarin . 🤣🤣🤣🤣,Sarcasm
nek tidak ada UUD yg menyebutkan ketua partai bisa mengatur² presiden.. mana mau aku pilih pemimpin dr partaimu nek jika disetir juga olehmu 😵🙏🏼,Non-Sarcasm
,Non-Sarcasm
Gaa ada Loee  Gaa Rame.... #bukanbasabasi,Non-Sarcasm
🤣🤣🤣🤣 keren deh Ibu.,Sarcasm
Bu😭,Non-Sarcasm
Sopo seng arep nyadap mbah uty,Non-Sarcasm
Itu aja udah gak benar. Darimana Ibu tau kalau Ibu orang paling disadap?,Non-Sarcasm
Lebih keren lagi kalo diem,Non-Sarcasm
Bentar lagi.,Non-Sarcasm
Lah,Non-Sarcasm
Lucu .Mbah ini. 😂,Sarcasm
Kirain yg paling sering di sadap itu pohon karet 🤣,Sarcasm
Muncul lagi knp ini?,Non-Sarcasm
Yaudah nek iya nek,Non-Sarcasm
lucu beut oma,Non-Sarcasm
Masuk akal,Non-Sarcasm
Lah kan HPnya ajudan nya yg bawa😢🤣,Sarcasm
Udh paling keren ko bu🙏🏻,Non-Sarcasm
Ibuku penjaga Marwah Pancasila dan konstitusi 🔥💚💚💚🔥,Non-Sarcasm
Makhluk astral tidak butuh HP.,Non-Sarcasm
Back to baby 😍😍😍,Non-Sarcasm
Aduh Nenek lucu bin gemesin bgt. Pake bedak cemong dong!,Non-Sarcasm
Istigfar bu....,Non-Sarcasm
nenek butuh validasi,Non-Sarcasm
Pakai Nokia 3310 aja lah,Non-Sarcasm
Keren itu punya hp yg gak bisa di sadap nek,Non-Sarcasm
"Luar biasaaa kharisma Npd nya,, ga ada yg pingin tes berapa persen kadar narsistik kah ?",Non-Sarcasm
Saya faham bu.. dah yaaa...,Non-Sarcasm
Kerenmu dewe,Non-Sarcasm
Takut NPD 😢,Non-Sarcasm
NPD akutt,Non-Sarcasm
Ih ibu keren dahhh.😍,Non-Sarcasm
you wish😂,Sarcasm
siap,Non-Sarcasm
🤣😂😂😂😂😂😂😂😂😂,Sarcasm
Legend 🙌 🙌 🙌,Non-Sarcasm
Hmmmm,Non-Sarcasm
"Iyain aja, lgi lucu lucunya emng",Non-Sarcasm
"😂😂emak, yuk pulang ke rumah. Ditungguin cucu. Jng mikir yg berat2 deh",Sarcasm
"Iya nek,nenek mah harus banyak2 pegang QURAN, trus pengajian....jangan hp ya nek...😂😂",Sarcasm
Berarti dia tahu selama ini yg lain di sadap juga hp nya 😂,Sarcasm
Percuma juga komen toh beliau gak ada HP,Non-Sarcasm
😍😍😍,Non-Sarcasm
Trus gw harus bilang WOW Gitu.... 😂😂😂😂,Sarcasm
Atah iyaaa buk,Non-Sarcasm
.,Non-Sarcasm
banyak klik link sembaranga sih 😢,Non-Sarcasm
"Yg komen kebanyakan sok tau, lu search aja pegasus, predator, finfisher, nso, itu alat² sadap pada masuk indo sebelum pilpres, apalagi yg pegasus alat sadap zero click algoritma sosmed aja bisa dimainin tuh sama alatnya,  perhatiin aja pas pilpres kemaren tiba² di explorer muncul konten² salah satu paslon , padahal gak pernah mengaksesnya,  sama kayak yg terjadi di tiktok algoritma lari kesalah satu paslon",Non-Sarcasm
Sudah uzur...semestinya...sudah enggak usah mikir mikirin..politik....,Non-Sarcasm
"Sekedar saran Bu Mega, pake hp merk Vertu. Lebih aman ..",Non-Sarcasm
Bpip masih ada enggak sih?,Non-Sarcasm
😮😂😂😂,Sarcasm
Goblk,Non-Sarcasm
😂😂😂😂,Sarcasm
🤣🤣🤣🤣,Sarcasm
James bond bukannya udah mati yaa bu ? 😂,Sarcasm
Sehat selalu dan panjang umur bu..,Non-Sarcasm
Iiiiddiiiiihhh... 😂,Sarcasm
keren bgt dah buk 👏,Non-Sarcasm
"Makanya jngan kebanyakan main boneka santet , salah satu boneka santetnya berontak merasa paling tersakiti 😂😂😂😂",Sarcasm
Sing panjang umur,Non-Sarcasm
😂😂,Sarcasm
masih merasa yg paling dibutuhkan😢,Non-Sarcasm
🤣🤣🤣,Sarcasm
Ada yg nanya ga sii kalian²??🤔🤔,Non-Sarcasm
🤣🤣🤣😄😄😄,Sarcasm
Ne pegang tasbe ne....😂😂😂,Sarcasm
@fathrraihan,Non-Sarcasm
Chiyobachan,Non-Sarcasm
🔥🔥🔥,Non-Sarcasm
,Non-Sarcasm
Iyaa deh si paling ga punya hp si paling di sadap👏,Non-Sarcasm
wkkwkwwk sok pede gak punya krna ndak iso wkkwkwk,Non-Sarcasm
GR nek . . .,Non-Sarcasm
Banyak barisan sakit hati komen😂,Sarcasm
😂,Sarcasm
Moneypenny ini mah🙌🏼,Non-Sarcasm
Oh wajar....yang dia tw cm tukang baksooo jodohnya anaknya si puan,Non-Sarcasm
Kan emang harus nya nenek nggak boleh megang HP.,Non-Sarcasm
Sipaling disadap,Non-Sarcasm
Iya toh matep to dari pada kesasar mendingan tak gendong toh enak toh mantep toh,Non-Sarcasm
Isoo ae,Non-Sarcasm
Sok penting banget ini orang,Non-Sarcasm
Woowww 🔥,Non-Sarcasm
"Apa itu Cacingan?
 
Cacingan adalah penyakit akibat infeksi cacing parasit yang hidup di dalam usus manusia. Cacing yang tinggal di dalam usus tersebut akan bertahan hidup dengan menyerap sari-sari makanan yang masuk ke dalam usus.
 
Cacing yang menginfeksi tubuh manusia tidak hanya menyebabkan gangguan pencernaan, tetapi juga berisiko menimbulkan masalah kulit. Jika tidak ditangani dengan tepat, cacingan juga dapat menyebabkan kondisi lebih serius, seperti anemia",Non-Sarcasm
"Bomat mak, lg aseeeekkkk ngopi",Non-Sarcasm
Saya yakini pernyataan ini ada beberapa orang sangat sensitif dgn teknologi krn benerapa pertimbangan seperti penyadapan hanya orang2 tertentu yg seperti ini.🔥🔥🔥,Non-Sarcasm
Iya bu keren 😃 sm kyk ibu saya gak pake bumeg. Emang paling bner istirht jn main hp 😂,Sarcasm
Biasa geus kolot mah maju ka budak 🤣,Sarcasm
Nggak bosan bu ehhh nek bikin gaduh terus di setiap pernyataanmu 😮,Non-Sarcasm
>>Taaaaiiiii.. 💩 🤣,Sarcasm
Neliiiiii...😂😂😂😂,Sarcasm
Ini caper banget deh ibu yang satu ini 😂,Sarcasm
Lah gak bisa nonton ceramah 24jam full diyuotube ky emakku,Non-Sarcasm
Sudah saatnya beliau beristirahat. Kayak ga ada kader aja si PDIP ini,Non-Sarcasm
"Jadi relate dgn pernyataan Pak Prabowo pada saat kongres PAN. Beliau bilang intel harus digunakan untuk kepentingan bangsa, bukan ngintelin lawan politik. 
Dan sebelumnya mantan Presiden Pak Jokowi juga sempet bilang kalau Beliau banyak dapet info dari intelijen sehingga tau apa yg terjadi dalam parpol.",Non-Sarcasm
Iyain aja udah biar cepet😂😂😂,Sarcasm
Ibu ini selalu ada saja gebrakannya ya 😂,Sarcasm
Apakah ini benar?,Non-Sarcasm
Ben,Non-Sarcasm
Orang yg ngaku paling tersakiti 😂,Sarcasm
"Gampang kali di sadap, seharusnya tingkatkan lah keamanan biar GK gampang di sadap orang 😂",Sarcasm
Bocah tua,Non-Sarcasm
😂😂😂😂,Sarcasm
Preeeet😂,Sarcasm
Bodo amat 😂😂😂,Sarcasm
Aya Aya wae 😭,Non-Sarcasm
Bodo amat,Non-Sarcasm
"Prabowo berteman tdk seperti itu bu,, sadap2an segala",Non-Sarcasm
Kasian udh tuwir ribet hidup nya😂😂😂🤣🤣🤣,Sarcasm
Dia tinggal panggil orang nya 🤣,Sarcasm
Mantap ibu James bond,Non-Sarcasm
"kadng yang aku pikirin gini,kluarganya bu mega ini kira*dihujat ga ya perihal tingkahnya beliau? kek misalnya cucu/cicitnya yg sekolah,trus keponakan atau yg lain yng msi dekat dngan bu mega.secara beliau kan sudah tua tpi ttp jadi pusat politik di indonesia",Non-Sarcasm
keren bu,Non-Sarcasm
Mirip NPC di game zelda 😭,Non-Sarcasm
😭🤣,Sarcasm
PEDE ABIS LO NENEK NENEK.,Non-Sarcasm
"Udah udah biarin, biariiin aja😭😭",Non-Sarcasm
Lelucon apalagi ini😂😂😂😂,Sarcasm
Wihhh narsis amat nekk.....ga Lepas Lepas dr sindrom SP (sok Penting)😂,Sarcasm
Tp hp cadangan pst ada tohhhh bukkk,Non-Sarcasm
,Non-Sarcasm
"Btw, bukan karena gaptek kan 🤣",Sarcasm
Terlepas ketum model gini tapi kader Redbull jujur bagus bagus leadership-nya,Non-Sarcasm
ikh,Non-Sarcasm
q y huuh cxxx,Non-Sarcasm
,Non-Sarcasm
Iya nek,Non-Sarcasm
we dont give a SH!T....!,Non-Sarcasm
Jangan lupa mampir di tik tok q mbah😍😍,Non-Sarcasm
"baca berita dari bisikin goib dong bun, eh nek?",Non-Sarcasm
😂😂,Sarcasm
Pantes suara rakyat diabaikan 😭,Non-Sarcasm
kalo HP nya HARUN MASIKU dimana ya nek??,Non-Sarcasm
Orang kalo udah tua emang suka balik kayak anak kecil. Contoh omongannya ngelantur dan gak genah,Non-Sarcasm
Pede bangett 🤣,Sarcasm
Gaptek kali...,Non-Sarcasm
Hahhĥhh !!!!,Non-Sarcasm
"Nggak pegang HP lah .., krn nggak tahan di hujat netizen 😁😁",Non-Sarcasm
"Iya bu,ibu memang org yg paling di tunggu Shut up di indonesia",Non-Sarcasm
Ge er... Memang karet... Disadap..,Non-Sarcasm
"Sok penting banget nggak sih ., pdh udah nggak penting .., dasar mak banteng kadang kadang yeee 😂",Sarcasm
Coba sadap dong .... isiin saldo gue 😂😂😂,Sarcasm
🔥🔥🔥Ibu ini yang berani head to head dengan Rezim otoriter Orde Baru... Engga ada takut nya,Non-Sarcasm
😂😂,Sarcasm
Pakai pager ya bu?,Non-Sarcasm
YTTA🤣,Sarcasm
😂,Sarcasm
Paling di shut up (sadap) 😂,Sarcasm
Paling seng nyadap malaikat maut wes intip intip truss,Non-Sarcasm
"Gak punya hp, tapi orang yg diajak ngobrol ada hidden mic 🗿",Non-Sarcasm
SBY : First Time? 🥱,Non-Sarcasm
"Lucu, tapi nyata",Non-Sarcasm
Pd bgt bu 😂,Sarcasm
Ga ada untungnya menyadap,Non-Sarcasm
😂,Sarcasm
😂🤣,Sarcasm
Micin Emang Sadaaaap,Non-Sarcasm
trus gak punya hape kok disadap? apanya yang disadap dap?? haluuu!!! 😂,Sarcasm
@t.wiibowo takut di sadap memang beda tipis dg ogah ribet HP..,Non-Sarcasm
"mohon maaf bu, james bond masih pakai hp, canggih pula",Non-Sarcasm
dengan kondisi politik yang saling sikut²an masuk akal ga sih kalau bu mega bilang begini? dulu aja beliau pernah disadap dari australia loh,Non-Sarcasm
Ko tukang bohong ya mabanteng,Non-Sarcasm
Ang ang ang,Non-Sarcasm
WOW QWERENNN SEKALEEH QUEEN 👑,Non-Sarcasm
Lucunya-lucu lagi segitu umur emang 🤣,Sarcasm
"Mak ateng, sudah saatnya masuk panti jompo",Non-Sarcasm
Dulu suka sama orang ini sekarang hilang respek...terlalu merasa penting😂😂,Sarcasm
,Non-Sarcasm
"Maaf seumur segitu memang udah males pegang hp deh ..,paling tinggal tolong bacain isi nya apa .😂😂",Sarcasm
😮,Non-Sarcasm
"Kita samaan buk,saya jg suka disadap SM pinjol🤣",Sarcasm
usia lansia kembalik ke kanak kanakan biasa menceritakan masa lalu nya,Non-Sarcasm
boong banget. hari gini ga pake hp 😄,Non-Sarcasm
😂 aya aya wae,Sarcasm
😂😂😂😂,Sarcasm
Yeayyy👏👏👏👏,Non-Sarcasm
"Bu, coba deh main tiktok, asik loohh😁",Non-Sarcasm
Pantesan suara rakyat ga kedengeran...............,Non-Sarcasm
Iya apa iya,Non-Sarcasm
Bilang aja gk bisa unlock Hp susah amat nih fosil,Non-Sarcasm
Lho ke geeran sendiri opo mimpiyo nek,Non-Sarcasm
Hihihi serem,Non-Sarcasm
Yg disadap kan cuma karet,Non-Sarcasm
"Iya2 budeh, iyain aja omongan budeh banteng dia lagi lucu2nya soalnya 😂",Sarcasm
Apanya yg keren 😂.,Sarcasm
"Keren emang nenek satu ini,sehat2 ya aset antik negara,aku ngefans berat padamu dari dulu,yang benci itu adalah orang yang sukanya liat riak permukaan jadi mudah dikibulin",Non-Sarcasm
"Yang komen ga jelas keliatan ga pinternya,hanya menilai riak air akibat lemparan batu,ya begitu jadinya kalau aku tetap terpesona akan kehebatan emak banteng satu ini",Non-Sarcasm
😆😆😆😆😆🤔🤔🤔🤔🤔🤔,Non-Sarcasm
Ap yg mau di sadab sama ni org tua satu ni 😢😂,Sarcasm
,Non-Sarcasm
"""M""",Non-Sarcasm
Apaan si😭 emg pntg bgt dia? Msh pentingan @bobbykertanegara gasih?😭,Non-Sarcasm
siapa yang mau nyadap nenek,Non-Sarcasm
Nggih bu,Non-Sarcasm
Memang banyak tukang sadap terutama di perkebunan2 karet ..,Non-Sarcasm
emang seharusnya sukarno childfree sih,Non-Sarcasm
Padahal bentar lagi ip16 masuk indo bu 🙏🏻,Non-Sarcasm
saiya anak Soekarno looh,Non-Sarcasm
Disarap bukan disadap nek,Non-Sarcasm
Tp ajudan pada pegang HP tooo bu,Non-Sarcasm
Sadap??? Tremor nek,Non-Sarcasm
"Orang segini emang ngerti megang HP kemungkinan hanya bu ini sudah di transfer kerekening ibu lalu ia bilang "" Yua wiss nanti anak buahku yang ngurus ya merdeka ""  Selesai 😂😂😂😂😂😂😂",Sarcasm
Mungkin Bu haji harus segera memimpin majlis ta'lim Nurul Hidayah,Non-Sarcasm
Bodo amaaaattt neeeeekkkkk,Non-Sarcasm
Szzz.. dia ngomong spt itu dikasih tau pembisiknya 😂,Sarcasm
getah karet juga disadap. apa kerennya,Non-Sarcasm
Alah lo banggain diri sendiri,Non-Sarcasm
Mknya sumbu pendek 🙄,Non-Sarcasm
Lebih baik senyap diskusi yang konsisten. Aku sih setuju Bu Megawati Soekarno Putri. 🔥,Non-Sarcasm
"G usah banyak ulah yangti jaman dah lain, wis g ono wong agas",Non-Sarcasm
Ahahahahahahaaaa...,Sarcasm
Alhamdulillah 🤣,Sarcasm
ibuu sampun buu,Non-Sarcasm
😂,Sarcasm
Nolak teknologi?,Non-Sarcasm
Kalo ga punya gimana caranya bisa tau kalo beliau jadi org paling disadap di Indonesia?,Non-Sarcasm
Mau komen tp tkut ketauan,Non-Sarcasm
Pantesan awet tua.. Eh maksudnya masih sehat2.. Ajaa.. Keren mak' ee,Non-Sarcasm
Karet bu?..,Non-Sarcasm
berarti kemarin saya video call sama siapa ? 😭😭,Non-Sarcasm
Gara gara orang ini buka peluang buat si Perusak Demokrasi akhirnya menyesal ya?semua digenggaman Mulyono...semua tersadra mulyono...,Non-Sarcasm
Ngelawak opo mane iki 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Sarcasm
Dih,Non-Sarcasm
Over confidence?,Non-Sarcasm
Oh,Non-Sarcasm
Bu mega pede amat ya klo bikin statemen😃,Non-Sarcasm
Iyaaak buk iyaaaakkss 😭,Non-Sarcasm
ga penting,Non-Sarcasm
Pekokkk!!!,Non-Sarcasm
Palelu,Non-Sarcasm
"Waduh, tanda tanda ini",Non-Sarcasm
"masya allah, sehat sehat uti",Non-Sarcasm
Halah..khayalan NENEK MULYONO!!!,Non-Sarcasm
"Wah susah di kontak rakyat dan wakil rakyat dong, makanya sering halu",Non-Sarcasm
😂😂😂😂😂😂😂,Sarcasm
Dihhh,Non-Sarcasm
Emak oh emak 😂,Sarcasm
Haaah?? Siapa lw? Pede amaaatt. Wkwkwkw jaman kamu udah berlalu,Non-Sarcasm
Hmm 😮😔😁😌😌,Non-Sarcasm
Nenek2 yg merasa diri nya sok penting,Non-Sarcasm
Wes Mbah istirahat maen Ama cucu,Non-Sarcasm
Batita mmg imajinasinya luar biasa,Non-Sarcasm
keren bangeeet..😄,Non-Sarcasm
Pede bgt bu...tobat bu tobat nanti diciduk malaikat maut lho...sombong dan bangga diri selalu ibu dari dlu😂 lbh penting akhirat bu drpd ambisi mimpin negara cuma nambah hisab,Sarcasm
🤣😂😂 stand Up Comedi setelah Pemilu 😂😂😂,Sarcasm
👏👏👏👏👏👏👏 sudah bu,Non-Sarcasm
Dih 🤣🤣🤣,Sarcasm
