judul,konteks,komen,apakah_komen_utama,dari_komen_utama,emoticon,label
"tempodotco's profile picture Ada yang berharap aturan 50 persen + 1 itu sama dengan 51 persen sehingga pemilihan kepala daerah Jakarta berlangsung dua putaran. Pramono Anung, calon PDI Perjuangan, membukukan 50,07 persen suara hingga akhir pekan lalu.  Menurut Undang-Undang Provinsi Khusus Jakarta, seharusnya pemilihan Gubernur Jakarta sudah selesai karena gubernur terpilih jika mendapat suara lebih dari 50 persen. Tapi, itu menurut undang-undang dan aturan main.  Pramono tak didukung penguasa. Jagoan mantan Presiden Jokowi dan Presiden Prabowo Subianto adalah Ridwan Kamil, yang perolehan suaranya tertinggal hampir 10 persen. Jika undang-undang saja bisa diubah, apatah lagi perolehan suara dalam pemilu. Maka ada operasi bagaimana menurunkan suara Pramono hingga di bawah 50 persen agar pilkada maju ke putaran kedua.  Bagaimana caranya?  #Tempodotco #TempoPlus","pasangan pramono dan ranokarno berhasil memenangkan pilkada di jakarta lewat quick count dengan perolehan suara 50.07%, namun calon yang didukung presiden , yakni pasangan ridwan kamil dan suswono mau 2 putaran dengan menghalalkan segala cara, mungkin saja dengan mengubah undang-undang, yang awalnya pemenang hanya perlu suara 50% + 1 suara, menjadi 51%, agar gagal menang dan lanjut di putaran ke 2","Hahaaahhahahahash, mas pram aku padamuuuu. Kalau tiba tiba berubah u know what to do 🫣",TRUE,Tidak ada,TRUE,
"tempodotco's profile picture Ada yang berharap aturan 50 persen + 1 itu sama dengan 51 persen sehingga pemilihan kepala daerah Jakarta berlangsung dua putaran. Pramono Anung, calon PDI Perjuangan, membukukan 50,07 persen suara hingga akhir pekan lalu.  Menurut Undang-Undang Provinsi Khusus Jakarta, seharusnya pemilihan Gubernur Jakarta sudah selesai karena gubernur terpilih jika mendapat suara lebih dari 50 persen. Tapi, itu menurut undang-undang dan aturan main.  Pramono tak didukung penguasa. Jagoan mantan Presiden Jokowi dan Presiden Prabowo Subianto adalah Ridwan Kamil, yang perolehan suaranya tertinggal hampir 10 persen. Jika undang-undang saja bisa diubah, apatah lagi perolehan suara dalam pemilu. Maka ada operasi bagaimana menurunkan suara Pramono hingga di bawah 50 persen agar pilkada maju ke putaran kedua.  Bagaimana caranya?  #Tempodotco #TempoPlus","pasangan pramono dan ranokarno berhasil memenangkan pilkada di jakarta lewat quick count dengan perolehan suara 50.07%, namun calon yang didukung presiden , yakni pasangan ridwan kamil dan suswono mau 2 putaran dengan menghalalkan segala cara, mungkin saja dengan mengubah undang-undang, yang awalnya pemenang hanya perlu suara 50% + 1 suara, menjadi 51%, agar gagal menang dan lanjut di putaran ke 2","Ngeri bacanya, tempo emang paling berani lawan arus",TRUE,Tidak ada,FALSE,
"tempodotco's profile picture Ada yang berharap aturan 50 persen + 1 itu sama dengan 51 persen sehingga pemilihan kepala daerah Jakarta berlangsung dua putaran. Pramono Anung, calon PDI Perjuangan, membukukan 50,07 persen suara hingga akhir pekan lalu.  Menurut Undang-Undang Provinsi Khusus Jakarta, seharusnya pemilihan Gubernur Jakarta sudah selesai karena gubernur terpilih jika mendapat suara lebih dari 50 persen. Tapi, itu menurut undang-undang dan aturan main.  Pramono tak didukung penguasa. Jagoan mantan Presiden Jokowi dan Presiden Prabowo Subianto adalah Ridwan Kamil, yang perolehan suaranya tertinggal hampir 10 persen. Jika undang-undang saja bisa diubah, apatah lagi perolehan suara dalam pemilu. Maka ada operasi bagaimana menurunkan suara Pramono hingga di bawah 50 persen agar pilkada maju ke putaran kedua.  Bagaimana caranya?  #Tempodotco #TempoPlus","pasangan pramono dan ranokarno berhasil memenangkan pilkada di jakarta lewat quick count dengan perolehan suara 50.07%, namun calon yang didukung presiden , yakni pasangan ridwan kamil dan suswono mau 2 putaran dengan menghalalkan segala cara, mungkin saja dengan mengubah undang-undang, yang awalnya pemenang hanya perlu suara 50% + 1 suara, menjadi 51%, agar gagal menang dan lanjut di putaran ke 2","nitip pesen inimah ke warga JKT, Nauzubillahminzaliq klw sampa 2 putaran..please jgn sampe mereka menang ya🙏,tunjukan kalian lbh cerdas dr penguasa itu,jgn lg rela di bodoh2in sama mereka,jgn lg rela jilid 3 periode versi kecil di DKI",TRUE,Tidak ada,TRUE,
"tempodotco's profile picture Ada yang berharap aturan 50 persen + 1 itu sama dengan 51 persen sehingga pemilihan kepala daerah Jakarta berlangsung dua putaran. Pramono Anung, calon PDI Perjuangan, membukukan 50,07 persen suara hingga akhir pekan lalu.  Menurut Undang-Undang Provinsi Khusus Jakarta, seharusnya pemilihan Gubernur Jakarta sudah selesai karena gubernur terpilih jika mendapat suara lebih dari 50 persen. Tapi, itu menurut undang-undang dan aturan main.  Pramono tak didukung penguasa. Jagoan mantan Presiden Jokowi dan Presiden Prabowo Subianto adalah Ridwan Kamil, yang perolehan suaranya tertinggal hampir 10 persen. Jika undang-undang saja bisa diubah, apatah lagi perolehan suara dalam pemilu. Maka ada operasi bagaimana menurunkan suara Pramono hingga di bawah 50 persen agar pilkada maju ke putaran kedua.  Bagaimana caranya?  #Tempodotco #TempoPlus","pasangan pramono dan ranokarno berhasil memenangkan pilkada di jakarta lewat quick count dengan perolehan suara 50.07%, namun calon yang didukung presiden , yakni pasangan ridwan kamil dan suswono mau 2 putaran dengan menghalalkan segala cara, mungkin saja dengan mengubah undang-undang, yang awalnya pemenang hanya perlu suara 50% + 1 suara, menjadi 51%, agar gagal menang dan lanjut di putaran ke 2","sesuai lagu ya dek ya. ""tabrak-tabrak masuk""😂",TRUE,Tidak ada,TRUE,
"tempodotco's profile picture Ada yang berharap aturan 50 persen + 1 itu sama dengan 51 persen sehingga pemilihan kepala daerah Jakarta berlangsung dua putaran. Pramono Anung, calon PDI Perjuangan, membukukan 50,07 persen suara hingga akhir pekan lalu.  Menurut Undang-Undang Provinsi Khusus Jakarta, seharusnya pemilihan Gubernur Jakarta sudah selesai karena gubernur terpilih jika mendapat suara lebih dari 50 persen. Tapi, itu menurut undang-undang dan aturan main.  Pramono tak didukung penguasa. Jagoan mantan Presiden Jokowi dan Presiden Prabowo Subianto adalah Ridwan Kamil, yang perolehan suaranya tertinggal hampir 10 persen. Jika undang-undang saja bisa diubah, apatah lagi perolehan suara dalam pemilu. Maka ada operasi bagaimana menurunkan suara Pramono hingga di bawah 50 persen agar pilkada maju ke putaran kedua.  Bagaimana caranya?  #Tempodotco #TempoPlus","pasangan pramono dan ranokarno berhasil memenangkan pilkada di jakarta lewat quick count dengan perolehan suara 50.07%, namun calon yang didukung presiden , yakni pasangan ridwan kamil dan suswono mau 2 putaran dengan menghalalkan segala cara, mungkin saja dengan mengubah undang-undang, yang awalnya pemenang hanya perlu suara 50% + 1 suara, menjadi 51%, agar gagal menang dan lanjut di putaran ke 2","Kang @ridwankamil jangan mau dipaksain gitu lah Kang , malu... Mau cari apalagi sih dengan ngikutin keinginan ""mereka""... Dulu saya bangga sekali dengan anda pada saat jd Walikota. Tapi kalo mau maksain kaya begini sih saya miris ngeliatnya...",TRUE,Tidak ada,FALSE,
"tempodotco's profile picture Ada yang berharap aturan 50 persen + 1 itu sama dengan 51 persen sehingga pemilihan kepala daerah Jakarta berlangsung dua putaran. Pramono Anung, calon PDI Perjuangan, membukukan 50,07 persen suara hingga akhir pekan lalu.  Menurut Undang-Undang Provinsi Khusus Jakarta, seharusnya pemilihan Gubernur Jakarta sudah selesai karena gubernur terpilih jika mendapat suara lebih dari 50 persen. Tapi, itu menurut undang-undang dan aturan main.  Pramono tak didukung penguasa. Jagoan mantan Presiden Jokowi dan Presiden Prabowo Subianto adalah Ridwan Kamil, yang perolehan suaranya tertinggal hampir 10 persen. Jika undang-undang saja bisa diubah, apatah lagi perolehan suara dalam pemilu. Maka ada operasi bagaimana menurunkan suara Pramono hingga di bawah 50 persen agar pilkada maju ke putaran kedua.  Bagaimana caranya?  #Tempodotco #TempoPlus","pasangan pramono dan ranokarno berhasil memenangkan pilkada di jakarta lewat quick count dengan perolehan suara 50.07%, namun calon yang didukung presiden , yakni pasangan ridwan kamil dan suswono mau 2 putaran dengan menghalalkan segala cara, mungkin saja dengan mengubah undang-undang, yang awalnya pemenang hanya perlu suara 50% + 1 suara, menjadi 51%, agar gagal menang dan lanjut di putaran ke 2","kalo jadi dipaksain gitu malah ga ada yg mau coblos RK di putaran ke 2 😅
udah pasti publik makin marah, ikhlasin aja udah 😂",TRUE,Tidak ada,TRUE,
"tempodotco's profile picture Ada yang berharap aturan 50 persen + 1 itu sama dengan 51 persen sehingga pemilihan kepala daerah Jakarta berlangsung dua putaran. Pramono Anung, calon PDI Perjuangan, membukukan 50,07 persen suara hingga akhir pekan lalu.  Menurut Undang-Undang Provinsi Khusus Jakarta, seharusnya pemilihan Gubernur Jakarta sudah selesai karena gubernur terpilih jika mendapat suara lebih dari 50 persen. Tapi, itu menurut undang-undang dan aturan main.  Pramono tak didukung penguasa. Jagoan mantan Presiden Jokowi dan Presiden Prabowo Subianto adalah Ridwan Kamil, yang perolehan suaranya tertinggal hampir 10 persen. Jika undang-undang saja bisa diubah, apatah lagi perolehan suara dalam pemilu. Maka ada operasi bagaimana menurunkan suara Pramono hingga di bawah 50 persen agar pilkada maju ke putaran kedua.  Bagaimana caranya?  #Tempodotco #TempoPlus","pasangan pramono dan ranokarno berhasil memenangkan pilkada di jakarta lewat quick count dengan perolehan suara 50.07%, namun calon yang didukung presiden , yakni pasangan ridwan kamil dan suswono mau 2 putaran dengan menghalalkan segala cara, mungkin saja dengan mengubah undang-undang, yang awalnya pemenang hanya perlu suara 50% + 1 suara, menjadi 51%, agar gagal menang dan lanjut di putaran ke 2","SEMOGA ANAK CUCU SAYA NANTI, INDONESIA UDAH MAJU. JAUH DARI PENGUASA PENGUASA RAKUSSSS",TRUE,Tidak ada,FALSE,
"tempodotco's profile picture Ada yang berharap aturan 50 persen + 1 itu sama dengan 51 persen sehingga pemilihan kepala daerah Jakarta berlangsung dua putaran. Pramono Anung, calon PDI Perjuangan, membukukan 50,07 persen suara hingga akhir pekan lalu.  Menurut Undang-Undang Provinsi Khusus Jakarta, seharusnya pemilihan Gubernur Jakarta sudah selesai karena gubernur terpilih jika mendapat suara lebih dari 50 persen. Tapi, itu menurut undang-undang dan aturan main.  Pramono tak didukung penguasa. Jagoan mantan Presiden Jokowi dan Presiden Prabowo Subianto adalah Ridwan Kamil, yang perolehan suaranya tertinggal hampir 10 persen. Jika undang-undang saja bisa diubah, apatah lagi perolehan suara dalam pemilu. Maka ada operasi bagaimana menurunkan suara Pramono hingga di bawah 50 persen agar pilkada maju ke putaran kedua.  Bagaimana caranya?  #Tempodotco #TempoPlus","pasangan pramono dan ranokarno berhasil memenangkan pilkada di jakarta lewat quick count dengan perolehan suara 50.07%, namun calon yang didukung presiden , yakni pasangan ridwan kamil dan suswono mau 2 putaran dengan menghalalkan segala cara, mungkin saja dengan mengubah undang-undang, yang awalnya pemenang hanya perlu suara 50% + 1 suara, menjadi 51%, agar gagal menang dan lanjut di putaran ke 2","Mul, jangan aneh aneh ya @jokowi",TRUE,Tidak ada,FALSE,
"tempodotco's profile picture Ada yang berharap aturan 50 persen + 1 itu sama dengan 51 persen sehingga pemilihan kepala daerah Jakarta berlangsung dua putaran. Pramono Anung, calon PDI Perjuangan, membukukan 50,07 persen suara hingga akhir pekan lalu.  Menurut Undang-Undang Provinsi Khusus Jakarta, seharusnya pemilihan Gubernur Jakarta sudah selesai karena gubernur terpilih jika mendapat suara lebih dari 50 persen. Tapi, itu menurut undang-undang dan aturan main.  Pramono tak didukung penguasa. Jagoan mantan Presiden Jokowi dan Presiden Prabowo Subianto adalah Ridwan Kamil, yang perolehan suaranya tertinggal hampir 10 persen. Jika undang-undang saja bisa diubah, apatah lagi perolehan suara dalam pemilu. Maka ada operasi bagaimana menurunkan suara Pramono hingga di bawah 50 persen agar pilkada maju ke putaran kedua.  Bagaimana caranya?  #Tempodotco #TempoPlus","pasangan pramono dan ranokarno berhasil memenangkan pilkada di jakarta lewat quick count dengan perolehan suara 50.07%, namun calon yang didukung presiden , yakni pasangan ridwan kamil dan suswono mau 2 putaran dengan menghalalkan segala cara, mungkin saja dengan mengubah undang-undang, yang awalnya pemenang hanya perlu suara 50% + 1 suara, menjadi 51%, agar gagal menang dan lanjut di putaran ke 2",Jangankan tingkat gubernur. Aturan wapres aja bisa di atur....😂,TRUE,Tidak ada,TRUE,
"tempodotco's profile picture Ada yang berharap aturan 50 persen + 1 itu sama dengan 51 persen sehingga pemilihan kepala daerah Jakarta berlangsung dua putaran. Pramono Anung, calon PDI Perjuangan, membukukan 50,07 persen suara hingga akhir pekan lalu.  Menurut Undang-Undang Provinsi Khusus Jakarta, seharusnya pemilihan Gubernur Jakarta sudah selesai karena gubernur terpilih jika mendapat suara lebih dari 50 persen. Tapi, itu menurut undang-undang dan aturan main.  Pramono tak didukung penguasa. Jagoan mantan Presiden Jokowi dan Presiden Prabowo Subianto adalah Ridwan Kamil, yang perolehan suaranya tertinggal hampir 10 persen. Jika undang-undang saja bisa diubah, apatah lagi perolehan suara dalam pemilu. Maka ada operasi bagaimana menurunkan suara Pramono hingga di bawah 50 persen agar pilkada maju ke putaran kedua.  Bagaimana caranya?  #Tempodotco #TempoPlus","pasangan pramono dan ranokarno berhasil memenangkan pilkada di jakarta lewat quick count dengan perolehan suara 50.07%, namun calon yang didukung presiden , yakni pasangan ridwan kamil dan suswono mau 2 putaran dengan menghalalkan segala cara, mungkin saja dengan mengubah undang-undang, yang awalnya pemenang hanya perlu suara 50% + 1 suara, menjadi 51%, agar gagal menang dan lanjut di putaran ke 2","1 mantan presiden, 1 presiden, 1 wapres, Mentri, Artis VS @aniesbaswedan",TRUE,Tidak ada,FALSE,
